Title,energy,fat,protein,salt,saturates,sugars,remarks
"Salt Free, Low Cholesterol Sugar Cookies Recipe",81.12946132,23.41248593,7.625491715,0.548620552,3.425053768,14.29844295,0
Honey Sriracha Chicken Wings,477.0964039,14.29704624,15.38345644,1.063914639,4.535686544,3.048951,1
Shrimp and Caper Salad,208.0589828,15.98076723,11.94668665,0.61484346,2.366703549,0.314582712,1
Natural Peanut Butter Chocolate Bon Bons,194.7525957,5.094846901,5.067961165,0.019790889,2.048394324,63.21060493,0
Easy Cheese Sauce,303.4353996,2.477641006,4.019150759,2.684041414,1.482728757,4.927331735,1
Easy Chocolate Frosting Recipe,57.1235315,4.342117969,3.661319581,0.588343603,2.735515337,82.00376778,0
Cornmeal Crackers with Pumpkin Seeds,367.7230504,18.33744047,7.126204452,2.605112692,10.10082789,3.045049286,1
Chocolate-Orange Angel Food Cake,399.5182191,0.367917814,3.564223164,0.185892874,0.126589721,27.41281678,0
"Rice With Lemon, Capers & Parsley",149.4259987,3.432272663,0.819374023,6.714773966,2.097616453,0.073745439,1
Cheryl's Veggie-Nut Patties,57.34966592,24.08309664,7.046964793,0.95178017,2.358094986,2.296981307,0
Creamed Broccoli And Cauliflower Soup Recipe,269.3440782,2.378433187,2.754291933,0.739408598,1.438450733,3.258321388,1
Fudgy Chocolate Cherry Float,52.62741564,2.209651759,1.023370808,37.02459082,1.342869136,8.345388482,0
Aunt Julie's Pineapple Cookies,58.9355364,9.26703691,4.203582408,0.300063244,5.739965188,55.05651919,0
Broccoli Chicken Casserole Recipe,350.0068312,10.39680946,7.470228281,0.893438755,2.606204694,0.638428819,1
Chicken Diable,150.2405658,2.216644791,5.047278072,1.131586525,0.494288058,38.11318726,0
Pacific Wasabi Sauce for Grilled Tuna,185.63043,25.37511301,2.347749459,0.481116504,9.965397189,2.961112075,1
Cornmeal Mush,255.5453076,0.333397992,1.352989671,0.573868872,0.041826294,0.306726153,1
Sugar Free Pudge-less Brownies,70.43790311,1.617459427,7.124522092,1.172270957,0.793585657,5.407226235,0
Mango Lassi,204.8978403,0.162933477,2.225914182,0.03014944,0.045641614,7.597658885,1
Peanut Butter Fudge Frosting,42.85858858,59.06122052,9.462527737,0.041706377,31.89617057,4.396048516,0
Potato and Hamburger Baskets #SP5,583.2030864,18.56206491,14.55661358,6.863313845,9.05785256,0.58548882,1
